Price,Close,High,Low,Open,Volume
Ticker,AZN.L,AZN.L,AZN.L,AZN.L,AZN.L
Date,,,,,
2004-01-01,2658.620849609375,2658.620849609375,2658.620849609375,2658.620849609375,0
2004-01-02,2688.381591796875,2694.3337281624767,2648.700682692862,2672.5092281552697,1395227
2004-01-05,2632.828125,2687.3893709966087,2623.6519154460248,2678.461167106255,3902348
2004-01-06,2602.076171875,2625.884722437333,2556.443116630528,2625.884722437333,6327794
2004-01-07,2588.18701171875,2624.891848603991,2580.25083077059,2617.947690274351,4826931
2004-01-08,2580.2509765625,2630.844132965686,2564.3786137693437,2598.107384704801,3755115
2004-01-09,2584.218994140625,2613.285306121772,2562.98980638267,2569.338654443078,4745648
2004-01-12,2539.57861328125,2595.1318954467774,2534.618498802185,2593.1478496551513,6263359
2004-01-13,2519.736083984375,2563.285756432775,2511.7999073419046,2552.472812634566,4867018
2004-01-14,2503.864990234375,2539.5778030903325,2489.9766741237245,2511.8011708690324,6868559
2004-01-15,2487.00146484375,2517.21844428956,2470.137075173888,2505.849900357125,0
2004-01-16,2534.61865234375,2535.6106752996575,2481.049412724743,2481.049412724743,6006102
2004-01-19,2574.298583984375,2577.969019075924,2528.665545501415,2528.665545501415,4121350
2004-01-20,2543.545654296875,2580.438912427695,2543.545654296875,2576.2823963373576,6057666
2004-01-21,2589.179443359375,2595.131580010776,2534.6181907215337,2550.4905551252696,6634868
2004-01-22,2646.716796875,2666.557252623688,2612.98802210223,2627.868363913746,10307236
2004-01-23,2613.97998046875,2640.7645950693786,2565.8668764639174,2617.948071520695,7431104
2004-01-26,2612.98681640625,2638.7793969782174,2587.194235834282,2638.7793969782174,4479139
2004-01-27,2609.019287109375,2676.4768200080202,2603.067151853612,2638.779963388189,6941110
2004-01-28,2668.541015625,2729.034539421606,2587.1951556691447,2588.1871783515335,5150060
2004-01-29,2596.124267578125,2691.3584783872575,2565.371553671009,2688.3824092994723,11328744
2004-01-30,2581.242919921875,2645.7243917877177,2579.2588746336955,2609.019553956392,8773278
2004-02-02,2610.01171875,2625.8840819198977,2584.219128598917,2584.219128598917,5255185
2004-02-03,2588.18701171875,2619.931735511391,2568.3465593483493,2619.931735511391,5729931
2004-02-04,2618.940185546875,2633.890036920097,2565.3709544788708,2573.307136859316,4329764
2004-02-05,2615.9638671875,2642.7484801621163,2606.0436401598645,2625.8840942151355,5181086
2004-02-06,2613.97998046875,2647.6094552567606,2607.0358211278462,2641.756617832365,3581680
2004-02-09,2628.860107421875,2641.0123852769384,2597.8593986079377,2627.868084739829,3453137
2004-02-10,2632.828125,2639.7722835813865,2610.0116039468726,2617.947785182743,9309185
2004-02-11,2573.307373046875,2604.060082593696,2564.3791670494106,2599.09996815066,27899428
2004-02-12,2542.553466796875,2589.178520616404,2503.368581140037,2587.19447577302,9561832
2004-02-13,2579.25927734375,2595.131642127404,2529.658137394832,2549.498593374399,5910381
2004-02-16,2564.378173828125,2589.1787364376814,2534.667148260475,2589.1787364376814,4099505
2004-02-17,2544.537841796875,2579.2586310611596,2535.6096388432015,2570.3304281074866,8536421
2004-02-18,2512.09033203125,2547.8072561833533,2505.14537455723,2508.1217849032387,8229959
2004-02-19,2520.025390625,2535.8995663139763,2502.1669429749013,2506.1354868971457,7209353
2004-02-20,2523.00244140625,2570.624980606997,2511.8409087810746,2515.065351539459,6313740
2004-02-23,2523.99462890625,2560.108291645376,2510.1047213572374,2538.876672708763,8331802
2004-02-24,2514.0732421875,2529.947422090815,2496.214789796271,2524.9867408710293,10338955
2004-02-25,2537.884765625,2559.711765172987,2510.1049480184715,2527.963402194097,10683475
2004-02-26,2548.7978515625,2565.6641666565297,2524.986583194458,2524.986583194458,4290685
2004-02-27,2531.931640625,2583.522724211403,2531.931640625,2562.6878635322787,5236405
2004-03-01,2577.570068359375,2585.5071586391573,2546.8138435252176,2563.6801603697554,4684376
2004-03-02,2599.397216796875,2606.3421711928972,2581.538762635675,2601.3814894814527,4409535
2004-03-03,2594.4365234375,2609.3185685050194,2580.5466147078155,2588.4837054104923,4463367
2004-03-04,2640.074951171875,2658.9255427059848,2599.3973589140596,2609.3187228793804,8628464
2004-03-05,2638.09033203125,2666.8622837532907,2620.2914655472205,2642.058877096359,6826376
2004-03-08,2649.00341796875,2660.9090513079354,2620.2314707323853,2656.94050686154,3522773
2004-03-09,2701.5869140625,2708.5318675690874,2624.0019104759176,2629.1609703509457,9521636
2004-03-10,2727.3828125,2752.979978646049,2705.35743408439,2709.524358289378,12722058
2004-03-11,2637.098388671875,2708.5322050693076,2631.145570638756,2708.5322050693076,9426538
2004-03-12,2665.870361328125,2667.854634019847,2551.7746815541263,2624.200634801969,7632565
2004-03-15,2649.00341796875,2669.8382763123245,2626.184287401978,2667.854004089127,3319340
2004-03-16,2658.9248046875,2671.5745402321886,2625.19217656833,2649.003443475979,4631659
2004-03-17,2632.137939453125,2650.988531556257,2617.2558930559157,2650.988531556257,5233108
2004-03-18,2584.515380859375,2634.1222019891134,2584.515380859375,2634.1222019891134,6286138
2004-03-19,2579.554443359375,2617.2556236853966,2574.59376173753,2614.2792147122896,6667125
2004-03-22,2539.86962890625,2578.5629552841187,2521.0190340042113,2578.5629552841187,4745193
2004-03-23,2500.183349609375,2558.719388350229,2500.183349609375,2544.8294808523997,10788019
2004-03-24,2522.010498046875,2534.0154442767944,2493.2385450793854,2502.167771862399,5629167
2004-03-25,2505.1435546875,2538.876180770421,2493.2379219523514,2538.876180770421,5147336
2004-03-26,2496.21533203125,2517.3478870621643,2487.286103896003,2510.1052424638565,3659142
2004-03-29,2527.963623046875,2537.884987344547,2488.506337857368,2506.136621591996,2441456
2004-03-30,2515.065673828125,2554.7511282475034,2505.14431022328,2544.829764642659,2701386
2004-03-31,2503.16015625,2531.9321120689656,2498.7451976805605,2515.0657931406067,3768452
2004-04-01,2527.963623046875,2537.884987344547,2495.2231208645567,2503.1602123026946,4738673
2004-04-02,2533.91650390625,2540.8614590853194,2497.4554892161345,2527.963685181333,5071665
2004-04-05,2541.853515625,2548.798470585724,2511.097286513222,2531.932151395394,4487206
2004-04-06,2568.6416015625,2577.570830768395,2526.9718652683227,2553.759552886008,3545750
2004-04-07,2609.318603515625,2609.318603515625,2553.758967851414,2553.758967851414,4744260
2004-04-08,2575.58642578125,2619.2404329978813,2564.7920966264096,2619.2404329978813,5421666
2004-04-09,2575.58642578125,2575.58642578125,2575.58642578125,2575.58642578125,0
2004-04-12,2575.58642578125,2575.58642578125,2575.58642578125,2575.58642578125,0
2004-04-13,2589.4765625,2608.3271581657086,2575.5866499042145,2608.3271581657086,2550289
2004-04-14,2586.499755859375,2591.460438168273,2544.5323350819353,2569.633436009122,3344928
2004-04-15,2653.965087890625,2655.949360853534,2575.5863058557243,2586.499807151723,6727230
2004-04-16,2655.94873046875,2707.539815259327,2597.4126919563646,2680.752136618066,9183907
2004-04-19,2619.239990234375,2644.440156888465,2607.334353915128,2641.0669901529945,2743164
2004-04-20,2614.27978515625,2620.2326044013876,2591.460644716556,2619.240467860531,3633973
2004-04-21,2606.342041015625,2624.2004942848603,2587.4914514536545,2587.4914514536545,5380056
2004-04-22,2649.00341796875,2669.8382763123245,2599.396612388811,2599.396612388811,2789454
2004-04-23,2634.122314453125,2678.768455376059,2626.185222733492,2654.957180217161,4182497
2004-04-26,2615.270751953125,2642.0584265747993,2584.514532943054,2620.2314324386202,5795796
2004-04-27,2614.27978515625,2645.155190573698,2581.7873134432075,2613.2876486153937,2965992
2004-04-28,2558.72021484375,2620.232682203313,2551.080811696489,2617.2562724923664,3712676
2004-04-29,2582.53076171875,2594.4363971934426,2476.3721787360737,2569.6329899544994,10285667
2004-04-30,2616.263671875,2656.941264042947,2588.483852833476,2589.4759892278157,9746684
2004-05-03,2616.263671875,2656.941264042947,2470.419621906997,2589.4759892278157,0
2004-05-04,2663.886474609375,2666.862884078212,2616.2639231079784,2624.201015024878,5924968
2004-05-05,2687.69775390625,2695.634845833622,2649.9965672512344,2653.96511321492,6279552
2004-05-06,2640.074951171875,2693.6503165846075,2637.7929890156915,2693.6503165846075,5152454
2004-05-07,2646.028076171875,2661.9022603558833,2609.319025246356,2655.94944128688,4948029
2004-05-10,2605.350830078125,2643.052022592584,2598.8522866084345,2643.052022592584,6550222
2004-05-11,2630.1533203125,2632.1375929042106,2596.4206862534184,2607.334185507827,3645787
2004-05-12,2610.310791015625,2637.0984730214864,2603.3658364215125,2635.1142002803117,2791346
2004-05-13,2651.980224609375,2658.925178433642,2620.2318642698688,2620.2318642698688,5169122
2004-05-14,2646.028076171875,2658.9258508213816,2624.2010729188637,2636.1067110568697,3226641
2004-05-17,2604.357666015625,2622.2161185825894,2573.6014421502973,2607.3340747767857,5716283
2004-05-18,2634.122314453125,2649.0043614274364,2602.6219816908324,2604.3582205045022,6034527
2004-05-19,2616.263671875,2662.8940824089877,2604.358035142918,2625.1928994240616,8079355
2004-05-20,2573.6025390625,2616.264416155672,2562.6890356200606,2616.264416155672,6409236
2004-05-21,2552.766845703125,2604.741856202257,2545.821891206459,2579.5545273331227,7794737
2004-05-24,2535.900146484375,2574.59345857862,2529.9473292391062,2551.774325805091,4755638
2004-05-25,2567.6494140625,2567.6494140625,2525.979678594716,2533.9167710647703,6631707
2004-05-26,2549.791015625,2601.3821178866733,2538.8775132234923,2585.507932575389,3974117
2004-05-27,2570.625244140625,2578.5623348211057,2541.853290423883,2555.743199114724,3293089
2004-05-28,2521.019287109375,2588.484580900574,2521.019287109375,2574.5946674729744,5104092
2004-05-31,2521.019287109375,2521.019287109375,2521.019287109375,2521.019287109375,0
2004-06-01,2517.0498046875,2534.908258169713,2505.144169032691,2533.9161218651457,3296631
2004-06-02,2514.0732421875,2561.6957818974447,2514.0732421875,2529.947422090815,3549013
2004-06-03,2534.908447265625,2536.89272002278,2501.6718785832772,2520.0264015869616,5135434
2004-06-04,2559.71142578125,2559.71142578125,2525.978794588784,2537.8844291273012,3720396
2004-06-07,2573.6025390625,2593.445272594208,2556.7362155605483,2576.578949092256,2701666
2004-06-08,2588.4833984375,2597.412624419078,2567.6485378138177,2582.530581116448,3779742
2004-06-09,2573.6025390625,2609.3194594195743,2552.271600515914,2608.3273227429886,5752413
2004-06-10,2543.83740234375,2574.3455927189725,2531.8186499759577,2569.6329454252386,6237856
2004-06-11,2536.8935546875,2550.7834685575135,2514.0744104724777,2550.7834685575135,2106674
