,GDP/breakdown at current prices in US Dollars (all countries),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56
10,4,Afghanistan,"Agriculture, hunting, forestry, fishing (ISIC A-B)",878687780.1255083,920010935.6370819,801641220.3903879,870871218.0182317,1083067657.3079855,1188976425.8863873,1284009992.1131427,1484165632.7536988,1657178880.2205868,1858590478.77613,1831206025.2514846,1743165590.2842934,1732784850.865888,1711812672.5350463,1666160273.0760999,1701699992.5260844,1668899993.6050441,1364599991.6246715,1632400005.3499994,2262900002.263772,1294399997.4285855,1660000003.2370334,1926500006.8223598,1691399991.2380717,1549799999.8726296,2125800000.0026054,1994876365.1356246,1872016046.654628,1756722441.734304,1595022290.8909569,2013191557.3417878,1927812145.9501095,1849755622.7916129,2027963668.212524,1862386897.0236113,2272585563.9496818,2462249235.671066,3504385645.3039336,3003033958.9668264,3934798327.3720813,4493102545.332966,5211050904.440082,5462840732.992416,5382079921.592705,5188962929.57771,4532803265.728308,4719621892.680585,4839052801.683859,4325515583.198809,5028423418.956519,5990027394.447833,5093708554.460446,4777172133.874282,5667202734.501303
11,4,Afghanistan,"Mining, Manufacturing, Utilities (ISIC C-E)",380487566.145124,398376435.87317497,347123422.1644172,377109248.0601389,468964992.09888744,514857173.9818676,556044680.3075451,642513347.158697,717742932.2725761,805022956.4388548,791976884.9506587,756029323.1089534,750661311.2017514,737023932.7937806,728822566.6400024,734699999.3908999,705200006.4468638,626899988.5967679,455600016.10355806,520200006.1456372,745700006.1389134,677200005.4398295,420600000.0225152,278599999.1503413,173400000.9556652,175800000.00021547,213644776.77804333,259636465.94302875,315528867.2866513,371007366.51259637,606430036.0189224,713594739.8182464,733618263.7581195,722299789.3629689,804929944.328402,849902343.5234523,883574193.3340892,1244362458.8724399,1229096682.4154384,1042375402.2851465,1235461369.040755,1614133295.845696,1544970832.9503903,1375613643.1763804,1322779113.6556182,1283435478.8945582,1298744110.5519204,1438978637.1972928,1898472879.8411808,2672111668.2466683,2192680526.738285,1953132288.9607565,2132734206.1128078,2086705986.342554
12,4,Afghanistan,Manufacturing (ISIC D),373877623.99155295,391455705.0785885,341093078.0477658,370557974.6239279,460817996.21947944,505912883.56733567,546384920.4402072,631351401.4509534,705273940.8786459,791038061.1600076,778218342.8110653,742894778.1615312,737621803.0395293,724219307.874674,716159227.0269703,721942844.5498843,692942341.6678488,616004488.5927545,447692760.75154835,511180785.59862614,732752118.5848975,665367897.339815,413293895.60450625,273798558.5373354,170408930.15643525,172725170.4002117,209795831.41889322,255258047.72764337,310306407.35119164,364579112.45092833,595092660.0437447,698865220.5933117,725472356.8118825,709018556.3847444,780584856.1653768,812367299.0572355,828708657.4772662,1154475154.3076327,1129828971.6985848,911498857.6254346,1030384840.7437975,1217475120.081934,1151919237.020192,978569604.6950476,906329558.8977684,809348330.76595,725213956.7671111,786046347.2858101,1201587241.900379,1949719477.501181,1504341757.1985576,1287644669.0931823,1444469852.5917895,1248762679.0243757
13,4,Afghanistan,Construction (ISIC F),47265585.44418089,49487974.23617961,43120173.87971282,46846637.46703238,58257347.42558236,63952146.48033233,69081948.00850561,79815900.97850776,89127515.34351116,100074311.74060386,98350531.44872361,93775023.58930431,93619203.74801965,91240311.79538774,90077380.54099357,93099994.94911404,85299993.39810449,77100008.49009444,63700002.78507803,79300005.88709714,112500007.9281378,106399999.87413032,134900004.78116524,103900000.13712727,76500000.07567759,164600000.40020174,164479824.46697858,164359737.05306178,164239736.98620155,158792896.23790833,213421729.41438475,229567300.01203072,184076338.78509617,231210930.1566088,367328737.45991313,475837750.2716332,567696417.6885695,550787342.7062597,531675882.08043325,558460730.273224,642056152.3996347,665769049.0061884,701619107.408673,686516583.0887996,700346078.6584567,698470978.1584253,591298569.2213559,618983897.4606314,656262760.8831493,446734348.269606,395640416.042072,210889234.3593321,142405276.88816142,133339400.9624354
14,4,Afghanistan,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",228666503.8696471,239405657.02141523,208640692.78075257,226619565.65475357,281784693.88447714,309617066.73109823,333952850.69205606,385921667.1986047,432702257.912609,481606709.13433987,475832619.49750525,460827486.8488018,438733577.76179034,448508811.6161793,463362339.60742044,375100000.85645944,481500000.7305898,449700009.60955083,242999998.15229765,154800001.89718962,1007299991.2672338,456300001.8005589,481900003.8505903,326499997.27339995,137700000.13621965,312099999.6003825,255161992.71941426,208611478.8646061,170553414.49101225,134912646.02353552,148354128.98316988,167335200.60927668,430569367.15824217,473888690.9761831,536047077.94520104,615078615.2165396,690834780.5874168,985449372.7067215,1070531521.5946492,1127912707.8986588,1491504183.815685,1812688048.096492,2255267260.817652,2242102848.2867594,2172341877.2697496,2233704009.690863,2039871140.4064088,2248199280.3483734,2147226880.0167685,1806462106.3110566,1642014792.6912189,1278561041.4574573,1153073826.9095633,1810290408.4947188
15,4,Afghanistan,"Transport, storage and communication (ISIC I)",84762562.77192183,88745457.5447027,77327147.32049471,84015069.97755691,104462406.91148396,114688897.69932048,123915464.64715078,143050777.9431152,159900189.11593884,179624943.001312,175830580.44090158,168746372.19482464,168276600.4754761,161153837.76887637,165274171.01969895,166799996.6822043,142200002.43217418,157400002.4141928,122100003.75614956,151899999.04018605,220299998.95926985,212799999.74826065,252999997.1003099,86600003.53810607,57299999.45705567,212499999.60026044,215133892.57586893,217800431.64083737,220500022.04590303,215987473.08994088,294105553.9490912,344350950.0285724,428961343.96885514,587135863.2992706,666139781.3422161,601166920.7735249,688858368.8670938,962346028.916553,1122795207.304499,1315692215.837059,1649004232.5169258,1807136925.9701056,2128753108.43771,2186522079.8880415,1914311475.3482685,1769949311.8369174,1582007261.566234,1601223975.0074387,1605561731.5952413,1816072657.5141258,2017420593.180792,1324994715.3678837,1245113054.041008,1324491814.4947863
16,4,Afghanistan,Other Activities (ISIC J-P),129035465.83276506,135102277.89077547,117719981.42493019,127890270.24829565,159041625.7725718,174600258.49447685,188578613.75748998,217897527.4532209,243383084.9364421,273064175.7494465,268562243.04640937,256279528.1570371,254861204.2554351,249712488.46695182,246787947.39622995,250599998.14330697,237399993.99829078,211900012.49125955,147399983.70318055,173000005.5162119,241399985.6722957,227399995.05027854,257700013.99731565,177400000.3102173,119899999.73423389,245499999.6003009,234909015.39800808,224784006.80439594,215104011.48107308,199167677.82641283,256366345.69898656,237864913.26573125,603812741.467956,718391214.3339914,1078009761.7922342,1439517610.664477,1715697007.3958962,2329820542.335446,2880095330.9888263,3694486190.720318,5717982254.857639,7183140228.970576,7835848468.345332,8590673342.783623,9826969359.220926,10062353292.81668,7105496871.68831,7302900518.307782,7281032300.904035,6714967596.051123,6846057914.175599,4546402207.928987,3987632846.599903,4507026573.327273
17,4,Afghanistan,Total Value Added,1748905464.1891472,1831128738.2033298,1595572637.9606953,1733352009.4260092,2155578723.400988,2366691969.273483,2555583549.5258904,2953364853.4858446,3300034859.801664,3697983574.8406873,3641758884.635683,3478823324.1832147,3438936748.3083606,3399452054.976222,3360484678.280445,3321999982.548069,3320499990.6110673,2887600013.2265368,2664200009.850263,3342100020.7500935,3621599987.394436,3340100005.150091,3474600026.574256,2664399991.6472635,2114600000.2314816,3236299999.2039666,3078205867.073938,2947208166.960558,2842648494.025145,2674890350.581351,3531869351.4063425,3620525249.683967,4230793677.929882,4760890156.280025,5314842199.933379,6254088804.399309,7008910003.564161,9577151390.821339,9837228583.370573,11673725574.42623,15229110737.985132,18293918452.307747,19929299510.9129,20463508418.816307,21125710833.71326,20580716337.109398,17337039846.114815,18049339109.990677,17914072136.453056,18484771795.36196,19083841637.2758,14407688042.522745,13438131344.447813,15529056918.110975
18,8,Albania,Final consumption expenditure,1518291364.8,1561968404.8,1606908267.4,1652656554.6,1700683917.8,1749635603.4,1797864494.2,1853301728.8,1905109255.4,1581494846.4704583,1450000000.0,1478142857.142857,1495428571.4285715,1569428571.4285715,1626571428.5714285,1635571428.5714285,1708142857.142857,1778285714.2857144,1854872542.5831614,2126753630.9217107,1843440085.4943223,1805227643.6879141,2605052670.587121,2272982391.373363,2063377327.4949806,2489352954.513336,3643259087.2441144,2573613751.5514474,2865071320.9006476,3267475751.2708225,3223479775.486753,3488471413.7289853,3979945031.4643674,5084782367.80982,6345593791.47586,7083953083.25072,7841922746.65804,9849229314.51685,12040547079.506742,11077313842.247662,10646778615.18229,11508091579.59946,10941474214.49531,11633387664.329672,12201559821.767159,10453766092.858912,10939644360.311739,11861738874.895046,13700527059.041374,14069133142.670786,14024832027.252645,15879411060.606647,16259229237.611452,19888456455.194
19,8,Albania,Household consumption expenditure (including Non-profit institutions serving households),1312560783.2,1350286963.4,1389164022.0,1428759886.0,1470097114.6,1512641040.4,1554448120.4,1601423386.2,1647804461.8,1367667640.901822,1250714285.7142856,1282285714.2857144,1292571428.5714285,1359857142.857143,1404714285.7142856,1411571428.5714285,1477857142.857143,1540714285.7142856,1613793085.0602288,1858401270.4962897,1616679237.2212796,1452578496.231191,2306678667.3068385,2032730723.8152297,1802824641.6880972,2162833080.83821,3343847556.435582,2341665620.4790134,2591268027.2914414,2932010071.8773503,2885447068.0777636,3071201940.5163684,3486201870.0187674,4467547640.039143,5541344788.3378,6195706971.642322,6905407106.390892,8730519108.637424,10703597111.978466,9739270748.750618,9316045155.703764,10093434548.8334,9605409941.380795,10224745912.951555,10686694444.444445,9188611350.013868,9602970779.547697,10364685978.169605,11989883244.461212,12321490506.06508,12228274275.195581,13744165378.67079,14333776631.035711,17342322022.95196
